alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
1.25,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian_lcc
2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian
2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian_lcc
0.05,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_bilateral
0.1,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_bilateral
0.2,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_bilateral
0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999910593032837,0.00010638575423045684,0.9999821186065674,la_005_z039,143,1.0,host
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999910593032837,0.00010638575423045684,0.9999821186065674,la_005_z039,143,1.0,binary_morph
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999910593032837,0.00010638575423045684,0.9999821186065674,la_005_z039,143,1.0,close_only
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999910593032837,0.00010638575423045684,0.9999821186065674,la_005_z039,143,1.0,open_close
