alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
0.0,0.0,0,0.0927161459740322,0.0927161459740322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.04861161373552842,host
3.0,0.023865250516528925,101,0.04886355225564859,0.04886355225564859,0.0,0.0,0.0,0.0,0.0,0.023768401342975205,0.20290815584230337,0.023865250516528925,1.10836069082008,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.025043636664262386,binary_morph
3.0,0.0005568827479338843,11,0.09440679914794059,0.09440679914794059,0.0,0.0,0.0,0.0,0.0,0.00055688274793389,0.000655145078100813,0.0005568827479338843,0.11127755176539297,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.04954194794962531,close_only
3.0,0.003381650309917355,49,0.08815005450631448,0.08815005450631448,0.0,0.0,0.0,0.0,0.0,0.0027037060950413187,0.0049771080748724945,0.003381650309917355,0.4973296334236768,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.04610720351573837,open_close
5.0,0.024309142561983473,101,0.05045125020835303,0.05045125020835303,0.0,0.0,0.0,0.0,0.0,0.023502066115702477,0.20292604762441954,0.024309142561983473,1.1085427205837908,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.02587842455222791,binary_morph
5.0,0.0021952479338842976,18,0.09808404593035612,0.09808404593035612,0.0,0.0,0.0,0.0,0.0,0.0021952479338843006,0.0008030673658876664,0.0021952479338842976,0.1845912627092405,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.05157117786522801,close_only
5.0,0.00974948347107438,82,0.0717658168302227,0.0717658168302227,0.0,0.0,0.0,0.0,0.0,0.008926265495867766,0.0086901036879333,0.00974948347107438,0.8408482748889256,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.03721841334384872,open_close
7.0,0.024914449896694214,101,0.050595458267362094,0.050595458267362094,0.0,0.0,0.0,0.0,0.0,0.023477853822314047,0.20325253028429952,0.024914449896694214,1.1092054362900832,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.02595431436022478,binary_morph
7.0,0.005342846074380165,32,0.10696156637266675,0.10696156637266675,0.0,0.0,0.0,0.0,0.0,0.005342846074380167,0.004145290051166751,0.005342846074380165,0.33172201466155204,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.05650258573413851,close_only
7.0,0.01572184917355372,91,0.056707229112195,0.056707229112195,0.0,0.0,0.0,0.0,0.0,0.01520532024793388,0.03171371744294522,0.01572184917355372,0.9488555987822239,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.02918100143481472,open_close
9.0,0.025245351239669422,101,0.05381055536003814,0.05381055536003814,0.0,0.0,0.0,0.0,0.0,0.022937112603305783,0.2031641056645717,0.025245351239669422,1.1089734902591182,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.027649186738821455,binary_morph
9.0,0.010161092458677686,42,0.11429849079677366,0.11429849079677366,0.0,0.0,0.0,0.0,0.0,0.01016109245867769,0.010030204872211566,0.010161092458677686,0.44282973613540827,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.0606132467200879,close_only
9.0,0.020209194214876033,97,0.04484458109976957,0.04484458109976957,0.0,0.0,0.0,0.0,0.0,0.020015495867768594,0.04591327307634484,0.020209194214876033,1.021703008351731,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.022936581250831443,open_close
11.0,0.028982115185950414,101,2.428540204424107e-11,2.428540204424107e-11,0.0,0.0,0.0,0.0,0.0,0.0184739798553719,0.17868357874559437,0.028982115185950414,1.1021269897277208,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,2.428540204424107e-11,binary_morph
11.0,0.015051975723140496,52,0.1200061768079238,0.1200061768079238,0.0,0.0,0.0,0.0,0.0,0.015051975723140501,0.012480914165878222,0.015051975723140496,0.5532241799877505,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.06383328250771318,close_only
11.0,0.02253357438016529,98,0.033633279268485194,0.033633279268485194,0.0,0.0,0.0,0.0,0.0,0.022533574380165285,0.049537549572193494,0.02253357438016529,1.037451536153379,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.017104276093595792,open_close
0.0,0.0,0,0.0927161459740322,0.0927161459740322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.04861161373552842,fill_holes
0.0,0.023760330578512397,101,0.04891170230864934,0.04891170230864934,0.0,0.0,0.0,0.0,0.0,0.023760330578512394,0.20290465176028374,0.023760330578512397,1.1082468240970957,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.025068933266928006,largest_cc
0.0,0.023760330578512397,101,0.04891170230864934,0.04891170230864934,0.0,0.0,0.0,0.0,0.0,0.023760330578512394,0.20290465176028374,0.023760330578512397,1.1082468240970957,0.9142432808876038,0.3106485450784439,0.8284865617752075,cju0qx73cjw570799j4n5cjze,2,0.025068933266928006,lcc_fill
