alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
0.0,0.0,0,0.8586247006519518,0.8586247006519518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7522720188055471,host
3.0,0.0037367639462809916,20,0.8605422595079018,0.8605422595079018,0.0,0.0,0.0,0.0,0.0,0.0009765625,0.001460286548961372,0.0037367639462809916,0.20507839808352135,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7552208642153012,binary_morph
3.0,0.001460808367768595,3,0.8601343234702942,0.8601343234702942,0.0,0.0,0.0,0.0,0.0,0.0014608083677685735,0.0006884064036354912,0.001460808367768595,0.03309371833644604,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7545927043722404,close_only
3.0,0.002227530991735537,14,0.8586731688626366,0.8586731688626366,0.0,0.0,0.0,0.0,0.0,0.0005972365702479054,0.0004552358180955767,0.002227530991735537,0.14293857651650735,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7523464317493855,open_close
5.0,0.0058028796487603305,20,0.8630481766221235,0.8630481766221235,0.0,0.0,0.0,0.0,0.0,0.000250193698347112,0.0020067000626863055,0.0058028796487603305,0.20655474836277904,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7590894872408122,binary_morph
5.0,0.003422004132231405,7,0.862623981280526,0.862623981280526,0.0,0.0,0.0,0.0,0.0,0.0034220041322314265,0.001872003310693629,0.003422004132231405,0.07731200909213624,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7584334178726629,close_only
5.0,0.004769821797520661,19,0.8579631308571944,0.8579631308571944,0.0,0.0,0.0,0.0,0.0,0.0022356017561983577,0.0013121087109521088,0.004769821797520661,0.19733345073145706,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.751256946288069,open_close
7.0,0.0078125,20,0.8651080362638525,0.8651080362638525,0.0,0.0,0.0,0.0,0.0,0.0022598140495868058,0.002925059485011715,0.0078125,0.21080357892083976,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7622822822879932,binary_morph
7.0,0.005948153409090909,13,0.865008399720032,0.865008399720032,0.0,0.0,0.0,0.0,0.0,0.005948153409090884,0.0031105753616994924,0.005948153409090909,0.14267395065860666,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7621275783097277,close_only
7.0,0.006618026859504132,19,0.8573474925298219,0.8573474925298219,0.0,0.0,0.0,0.0,0.0,0.003809400826446263,0.0018380044864372428,0.006618026859504132,0.2008869288075597,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7503134040561641,open_close
9.0,0.00979790805785124,20,0.8663323957459769,0.8663323957459769,0.0,0.0,0.0,0.0,0.0,0.00418065599173556,0.0037790894928299793,0.00979790805785124,0.21492333642279432,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.764185544773722,binary_morph
9.0,0.008571151859504132,18,0.866692744515334,0.866692744515334,0.0,0.0,0.0,0.0,0.0,0.008571151859504134,0.003975865288245651,0.008571151859504132,0.19813627004106968,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7647464889368067,close_only
9.0,0.009071539256198347,20,0.858026139643402,0.858026139643402,0.0,0.0,0.0,0.0,0.0,0.004987732438016534,0.0016332123295929523,0.009071539256198347,0.21446757477661313,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7513535724704787,open_close
11.0,0.012759878615702479,20,0.8660889690268027,0.8660889690268027,0.0,0.0,0.0,0.0,0.0,0.010031960227272707,0.0027166789902489333,0.012759878615702479,0.22347100859053742,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7638068114450265,binary_morph
11.0,0.012380552685950414,18,0.8669195405397886,0.8669195405397886,0.0,0.0,0.0,0.0,0.0,0.012380552685950397,0.004034065436894681,0.012380552685950414,0.20576962173112448,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7650997184753578,close_only
11.0,0.010266012396694215,20,0.8595892775779311,0.8595892775779311,0.0,0.0,0.0,0.0,0.0,0.0053751291322314265,0.0015687552988311172,0.010266012396694215,0.21603333035363342,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7537541174250689,open_close
0.0,0.0,0,0.8586247006519518,0.8586247006519518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7522720188055471,fill_holes
0.0,0.002058044938016529,20,0.8591595715482127,0.8591595715482127,0.0,0.0,0.0,0.0,0.0,0.0020580449380165344,0.0013419966290950263,0.002058044938016529,0.20445158903330682,0.9613295793533325,0.14801935244112152,0.9226590991020203,cju0qx73cjw570799j4n5cjze,2,0.7530935528972725,largest_cc
