alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
0.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,host
3.0,0.016238378099173553,1,0.9472801006859561,0.9472801006859561,0.0,0.0,0.0,0.0,0.0,0.01583483987603307,0.024158927918195485,0.016238378099173553,0.0481129499547555,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8998405951142444,binary_morph
3.0,0.00020983987603305786,0,0.9216577321842545,0.9216577321842545,0.0,0.0,0.0,0.0,0.0,0.00020983987603306886,0.00017776733120218198,0.00020983987603305786,0.0004641215848666722,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8546986978940472,close_only
3.0,0.00030668904958677687,0,0.921881379461582,0.921881379461582,0.0,0.0,0.0,0.0,0.0,4.8424586776840695e-05,0.00010095209637052799,0.00030668904958677687,0.00038035166045624955,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8550834406358382,open_close
5.0,0.01662577479338843,1,0.947068198977336,0.947068198977336,0.0,0.0,0.0,0.0,0.0,0.015705707644628086,0.024227616847744236,0.01662577479338843,0.04838838664995258,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8994582536674246,binary_morph
5.0,0.0004600335743801653,0,0.9213507595653232,0.9213507595653232,0.0,0.0,0.0,0.0,0.0,0.0004600335743801809,0.0002975960325748741,0.0004600335743801653,0.0009944661569040647,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8541708694811839,close_only
5.0,0.0007586518595041322,0,0.9220758004802593,0.9220758004802593,0.0,0.0,0.0,0.0,0.0,0.00012913223140498253,4.0920753395893145e-05,0.0007586518595041322,0.000898014279258088,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8554180348609391,open_close
7.0,0.016932463842975205,1,0.9468049421374909,0.9468049421374909,0.0,0.0,0.0,0.0,0.0,0.015528150826446263,0.024194451333533543,0.016932463842975205,0.048509227502804855,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8989834647159014,binary_morph
7.0,0.0007182980371900826,0,0.9209771482182002,0.9209771482182002,0.0,0.0,0.0,0.0,0.0,0.0007182980371900904,0.0002820231750937081,0.0007182980371900826,0.0015071018681536,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8535288633594494,close_only
7.0,0.0011137654958677686,0,0.9223018056057858,0.9223018056057858,0.0,0.0,0.0,0.0,0.0,0.00027440599173556013,0.00013118479352110918,0.0011137654958677686,0.001420967685983606,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8558071363626856,open_close
9.0,0.01754584194214876,1,0.9465024025038202,0.9465024025038202,0.0,0.0,0.0,0.0,0.0,0.015173037190082672,0.02426434597344139,0.01754584194214876,0.04878496562559178,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8984381215057029,binary_morph
9.0,0.0012186854338842976,0,0.9204460562606733,0.9204460562606733,0.0,0.0,0.0,0.0,0.0,0.0012186854338843145,0.00044266476287735965,0.0012186854338842976,0.002548037058487952,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8526170105724052,close_only
9.0,0.0019934788223140497,0,0.9229972610963386,0.9229972610963386,0.0,0.0,0.0,0.0,0.0,0.0006860149793388448,0.000391629888170552,0.0019934788223140497,0.0027774012736955325,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8570054910332497,open_close
11.0,0.018022017045454544,1,0.9459606605901475,0.9459606605901475,0.0,0.0,0.0,0.0,0.0,0.014842135847107418,0.024435592654098753,0.018022017045454544,0.04897305105608665,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8974623861014658,binary_morph
11.0,0.001670648243801653,0,0.9197464677870255,0.9197464677870255,0.0,0.0,0.0,0.0,0.0,0.0016706482438016423,0.0007320607791753181,0.001670648243801653,0.0035243116823971245,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8514172278658303,close_only
11.0,0.0024938662190082646,0,0.9240276659901501,0.9240276659901501,0.0,0.0,0.0,0.0,0.0,0.001363959194214892,0.0006910958683656913,0.0024938662190082646,0.0040305993803145795,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8587838523212602,open_close
0.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,fill_holes
0.0,0.015947830578512397,1,0.9474376188885051,0.9474376188885051,0.0,0.0,0.0,0.0,0.0,0.0159478305785124,0.024077431928070773,0.015947830578512397,0.047915019139042496,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.9001249103064256,largest_cc
0.0,0.015947830578512397,1,0.9474376188885051,0.9474376188885051,0.0,0.0,0.0,0.0,0.0,0.0159478305785124,0.024077431928070773,0.015947830578512397,0.047915019139042496,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.9001249103064256,lcc_fill
25.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,remove_small
50.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,remove_small
100.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,remove_small
250.0,0.0,0,0.9219566637641284,0.9219566637641284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552129889186372,remove_small
0.75,0.0005003873966942148,0,0.9219817612641625,0.9219817612641625,0.0,0.0,0.0,0.0,0.0,1.6141528925650572e-05,0.00010396038292443768,0.0005003873966942148,0.0005425190213509748,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552561804031399,prob_gaussian
0.75,0.016375581095041322,1,0.9474508706909931,0.9474508706909931,0.0,0.0,0.0,0.0,0.0,0.0159559013429752,0.02412333250949661,0.016375581095041322,0.048362315565390675,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.900148833256255,prob_gaussian_lcc
1.25,0.0011541193181818182,0,0.9219462402188234,0.9219462402188234,0.0,0.0,0.0,0.0,0.0,2.4212293388448103e-05,0.00020698836748057604,0.0011541193181818182,0.0012300787034404104,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8551950511335641,prob_gaussian
1.25,0.016884039256198347,1,0.9473860871031945,0.9473860871031945,0.0,0.0,0.0,0.0,0.0,0.01589940599173556,0.024222330349498583,0.016884039256198347,0.04883902783530855,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.9000318877577586,prob_gaussian_lcc
2.0,0.0023243801652892563,0,0.9219881321802768,0.9219881321802768,0.0,0.0,0.0,0.0,0.0,3.2283057851245633e-05,0.00039107676399818223,0.0023243801652892563,0.0024544324141400477,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8552671447365098,prob_gaussian
2.0,0.017836389462809916,1,0.9474950348268834,0.9474950348268834,0.0,0.0,0.0,0.0,0.0,0.015931689049586806,0.02439325119659033,0.017836389462809916,0.04986639131154431,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.9002285653563964,prob_gaussian_lcc
0.05,0.0003309013429752066,0,0.9220466331833062,0.9220466331833062,0.0,0.0,0.0,0.0,0.0,4.0353822314043164e-05,5.336374177437226e-05,0.0003309013429752066,0.0003845961007328428,0.97169429063797,0.11241442253771022,0.9433887004852295,IMD002,0,0.8553678308999326,prob_bilateral
