dataset,id,idx,action,method,alpha,risk_score,risk,threshold,host_dice,fixed_dice,crc_dice,fixed_gain,figure
polyps_official_mediafinal_graphseg_e120_zoo,test/Kvasir_cju5wrrs0m2af0818vmnajbtw,2212,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,close_only,11,changed,0.013066567665289255,0.004011169938016529,0.5803217533713777,0.5168693605809269,0.5803217533713777,-0.06345239279045078,results/figures/mediafinal_crc_reversion_cases/polyps_official_mediafinal_graphseg_e120_zoo_test_Kvasir_cju5wrrs0m2af0818vmnajbtw_close_only_a11.png
polyps_official_mediafinal_graphseg_e120_zoo,test/Kvasir_cju2wve9v7esz0878mxsdcy04,2178,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,close_only,11,changed,0.027900632747933883,0.004011169938016529,0.4526305078032417,0.40709520923568543,0.4526305078032417,-0.04553529856755628,results/figures/mediafinal_crc_reversion_cases/polyps_official_mediafinal_graphseg_e120_zoo_test_Kvasir_cju2wve9v7esz0878mxsdcy04_close_only_a11.png
polyps_official_mediafinal_graphseg_e120_zoo,test/Kvasir_cju88vx2uoocy075531lc63n3,2241,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,close_only,11,changed,0.008288675103305785,0.004011169938016529,0.6147547315863457,0.5712649438348296,0.6147547315863457,-0.04348978775151613,results/figures/mediafinal_crc_reversion_cases/polyps_official_mediafinal_graphseg_e120_zoo_test_Kvasir_cju88vx2uoocy075531lc63n3_close_only_a11.png
