split,n,host_dice,refiner_dice,mean_gain,mean_harm,harmed_rate,drop05_rate,worst_drop,revert_rate,harm_rate_ucb,drop05_rate_ucb,mean_harm_ucb
cal,4270,0.9363744283034392,1.0,0.06362557169656075,0.0,0.0,0.0,0.0013220173004678815,0.0,0.0199566197620183,0.0199566197620183,0.0199566197620183
test,4270,0.9328817403963727,1.0,0.06711825960362719,0.0,0.0,0.0,0.0013348494586389315,0.0,0.0199566197620183,0.0199566197620183,0.0199566197620183
