dataset,mode,risk,gain_CI,harm_CI,worst_drop_CI,harmed_rate_CI,revert_rate_CI,action
kvasir_seg_mediafinal_graphseg_e120_zoo,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.040 [0.000, 0.093]","0.907 [0.840, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a11.00
kvasir_seg_mediafinal_unet_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","-0.0006 [-0.0006, +0.0000]","0.040 [0.000, 0.093]","0.920 [0.853, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a7.00
kvasir_seg_mediafinal_unet_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.040 [0.000, 0.093]","0.907 [0.840, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a11.00
kvasir_seg_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","-0.0187 [-0.0187, +0.0000]","0.003 [0.000, 0.008]","0.980 [0.965, 0.992]",polyps_official_mediafinal_graphseg_e120:binary_morph:a11.00
polyps_official_mediafinal_graphseg_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","-0.0187 [-0.0187, +0.0000]","0.003 [0.000, 0.008]","0.980 [0.965, 0.992]",polyps_official_mediafinal_graphseg_e120:binary_morph:a11.00
polyps_official_mediafinal_graphseg_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120_zoo,practical,change_plus_geom,"+0.0013 [+0.0007, +0.0021]","0.0000 [0.0000, 0.0000]","-0.0196 [-0.0196, -0.0011]","0.113 [0.083, 0.145]","0.810 [0.769, 0.847]",polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00
polyps_official_mediafinal_graphseg_e120_zoo,practical,changed,"+0.0026 [+0.0014, +0.0040]","0.0000 [0.0000, 0.0007]","-0.0455 [-0.0455, -0.0196]","0.148 [0.113, 0.185]","0.717 [0.672, 0.762]",polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00
polyps_official_mediafinal_graphseg_e120_zoo,practical,geom,"+0.0015 [+0.0007, +0.0023]","0.0000 [0.0000, 0.0000]","-0.0250 [-0.0250, -0.0052]","0.123 [0.090, 0.158]","0.779 [0.739, 0.820]",polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00
polyps_official_mediafinal_graphseg_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_graphseg_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120,practical,change_plus_geom,"+0.0028 [+0.0000, +0.0058]","0.0021 [0.0007, 0.0040]","-0.2642 [-0.2642, -0.0534]","0.125 [0.093, 0.160]","0.464 [0.414, 0.514]",polyps_official_mediafinal_unet_e120:binary_morph:a9.00
polyps_official_mediafinal_unet_e120,practical,changed,"+0.0009 [-0.0007, +0.0024]","0.0017 [0.0008, 0.0029]","-0.1564 [-0.1564, -0.0508]","0.125 [0.093, 0.160]","0.456 [0.409, 0.504]",polyps_official_mediafinal_unet_e120:binary_morph:a9.00
polyps_official_mediafinal_unet_e120,practical,geom,"+0.0037 [+0.0009, +0.0066]","0.0018 [0.0005, 0.0036]","-0.2642 [-0.2642, -0.0508]","0.120 [0.090, 0.155]","0.466 [0.416, 0.516]",polyps_official_mediafinal_unet_e120:binary_morph:a9.00
polyps_official_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120_zoo,practical,change_plus_geom,"+0.0024 [+0.0000, +0.0054]","0.0021 [0.0007, 0.0039]","-0.2642 [-0.2642, -0.0534]","0.125 [0.093, 0.158]","0.469 [0.419, 0.519]",polyps_official_mediafinal_unet_e120_zoo:binary_morph:a9.00
polyps_official_mediafinal_unet_e120_zoo,practical,changed,"+0.0009 [-0.0007, +0.0024]","0.0017 [0.0008, 0.0029]","-0.1564 [-0.1564, -0.0508]","0.125 [0.095, 0.160]","0.456 [0.404, 0.506]",polyps_official_mediafinal_unet_e120_zoo:binary_morph:a9.00
polyps_official_mediafinal_unet_e120_zoo,practical,geom,"+0.0037 [+0.0008, +0.0067]","0.0018 [0.0005, 0.0035]","-0.2642 [-0.2642, -0.0508]","0.120 [0.090, 0.153]","0.466 [0.419, 0.514]",polyps_official_mediafinal_unet_e120_zoo:binary_morph:a9.00
polyps_official_mediafinal_unet_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
polyps_official_mediafinal_unet_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
